City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,umm lajj,0,SA,1517354534,88,25.02,37.27,63.85,16.44
1,bathsheba,75,BB,1517353200,83,13.22,-59.52,77.0,14.99
2,hobart,40,AU,1517351400,58,-42.88,147.33,53.6,16.11
3,kapit,76,MY,1517354538,96,2.02,112.94,71.59,2.68
4,mar del plata,64,AR,1517354539,41,-46.43,-67.52,61.24,20.24
5,tupik,32,RU,1517354540,49,54.43,119.94,-31.47,1.9
6,namibe,20,AO,1517354540,100,-15.19,12.15,75.82,5.14
7,atocha,75,EC,1517353200,52,-1.22,-78.6,64.4,12.75
8,mortka,8,RU,1517354541,71,59.33,66.02,7.01,5.7
9,saint-joseph,75,FR,1517353200,81,43.56,6.97,51.8,3.36
10,chambas,75,CU,1517352600,83,22.19,-78.91,73.4,16.11
11,ushuaia,40,AR,1517353200,65,-54.81,-68.31,48.2,27.51
12,trairi,48,BR,1517354543,100,-3.28,-39.27,80.86,15.77
13,umm kaddadah,0,SD,1517354544,43,13.6,26.69,50.98,12.19
14,chuy,0,UY,1517354545,83,-33.69,-53.46,72.08,13.09
15,albany,90,US,1517353620,79,42.65,-73.75,21.2,6.93
16,bay roberts,90,CA,1517351820,100,47.58,-53.28,33.8,16.11
17,zeya,0,RU,1517354547,48,53.74,127.27,-30.52,2.13
18,honningsvag,20,NO,1517350800,73,70.98,25.97,23.0,13.87
19,rikitea,56,PF,1517354549,100,-23.12,-134.97,79.33,15.21
20,saint-nazaire,90,FR,1517353200,100,47.27,-2.21,48.2,9.17
21,plaster rock,90,CA,1517352960,56,46.91,-67.4,12.2,14.99
22,kapaa,1,US,1517352960,54,22.08,-159.32,82.4,20.8
23,flinders,90,AU,1517349600,63,-34.58,150.85,64.4,12.75
24,esperance,20,TT,1517349600,69,10.24,-61.45,80.6,9.17
25,sisimiut,8,GL,1517354554,71,66.94,-53.67,-16.66,2.57
26,changchun,20,CN,1517349600,69,43.88,125.32,-11.21,4.47
27,curup,8,ID,1517354555,81,-3.47,102.53,70.19,0.56
28,shimoda,8,JP,1517354555,100,34.7,138.93,44.18,8.39
29,qostanay,0,KZ,1517351400,58,53.17,63.58,-5.81,4.47
30,chokurdakh,0,RU,1517354575,82,70.62,147.9,-18.46,7.05
31,mataura,12,NZ,1517354578,36,-46.19,168.86,83.38,26.4
32,padang,0,ID,1517354580,100,-0.92,100.36,82.12,3.58
33,baruun-urt,24,MN,1517354581,48,46.68,113.28,-10.36,5.59
34,torbay,90,CA,1517351820,100,47.66,-52.73,33.8,16.11
35,maracaju,36,BR,1517354582,91,-21.61,-55.17,76.04,3.36
36,faanui,80,PF,1517354583,100,-16.48,-151.75,80.36,6.71
37,ust-maya,64,RU,1517354583,51,60.42,134.54,-30.93,2.68
